date,onset_dt,test_dt,report_dt,hospit_dt,death_dt,death_dt_hospit,death_dt_nohospit,total_tested
2020-01-30,1,0,0,1,0,0,0,40
2020-01-31,0,0,0,2,0,0,0,32
2020-02-01,3,0,0,2,0,0,0,19
2020-02-02,1,0,0,0,0,0,0,11
2020-02-03,1,0,0,2,0,0,0,14
2020-02-04,2,0,0,2,0,0,0,26
2020-02-05,0,0,0,1,0,0,0,28
2020-02-06,0,0,0,1,0,0,0,13
2020-02-07,2,0,0,1,0,0,0,15
2020-02-09,0,0,0,1,0,0,0,9
2020-02-10,0,0,0,2,0,0,0,13
2020-02-11,1,0,0,3,0,0,0,22
2020-02-12,0,0,0,1,0,0,0,20
2020-02-13,2,0,0,1,0,0,0,7
2020-02-14,2,0,0,3,0,0,0,9
2020-02-15,4,0,0,2,0,0,0,5
2020-02-17,2,0,0,3,0,0,0,0
2020-02-18,2,0,0,3,0,0,0,9
2020-02-19,1,0,0,5,0,0,0,14
2020-02-20,7,0,0,3,0,0,0,10
2020-02-21,5,0,0,5,0,0,0,14
2020-02-22,3,0,0,2,0,0,0,2
2020-02-23,7,0,0,2,0,0,0,5
2020-02-24,13,1,1,5,0,0,0,48
2020-02-25,11,1,2,4,0,0,0,171
2020-02-26,14,10,6,9,0,0,0,319
2020-02-27,15,10,5,4,0,0,0,277
2020-02-28,23,10,16,5,0,0,0,450
2020-02-29,25,13,14,12,0,0,0,257
2020-03-01,31,11,12,10,0,0,0,366
2020-03-02,46,31,20,15,0,0,0,488
2020-03-03,42,33,27,17,0,0,0,683
2020-03-04,57,61,39,12,0,0,0,569
2020-03-05,60,62,58,15,2,0,2,517
2020-03-06,88,73,64,23,0,0,0,933
2020-03-07,87,49,58,8,0,0,0,709
2020-03-08,115,68,62,17,1,1,0,724
2020-03-09,162,192,65,29,0,0,0,1676
2020-03-10,216,212,127,40,2,0,2,2169
2020-03-11,210,334,206,47,3,2,1,2686
2020-03-12,228,357,281,51,4,1,3,4666
2020-03-13,272,432,309,55,3,2,1,4695
2020-03-14,276,420,196,64,5,4,1,5185
2020-03-15,239,326,538,54,8,6,2,2486
2020-03-16,317,1062,362,117,7,6,1,5851
2020-03-17,224,1085,632,96,12,10,2,9372
2020-03-18,185,1211,810,112,8,4,4,10485
2020-03-19,120,832,1210,107,13,13,0,9103
2020-03-20,155,1145,1055,139,21,17,4,7984
2020-03-21,107,685,959,118,19,14,5,5940
2020-03-22,83,548,921,134,18,13,5,3032
2020-03-23,107,1462,599,156,23,15,8,6840
2020-03-24,63,1240,1263,182,19,11,8,5519
2020-03-25,86,1071,852,198,39,27,12,7547
2020-03-26,52,1117,1468,163,38,29,9,7646
2020-03-27,75,1309,1152,205,31,24,7,7164
2020-03-28,49,722,994,123,57,31,26,5466
2020-03-29,36,434,1099,120,45,31,14,2617
2020-03-30,66,1308,739,160,58,35,23,4699
2020-03-31,42,1133,930,120,44,28,16,6860
2020-04-01,49,1013,1107,92,57,31,26,6544
2020-04-02,40,878,1044,90,60,42,18,6770
2020-04-03,38,928,960,70,54,34,20,6399
2020-04-04,31,485,744,52,55,21,34,4984
2020-04-05,23,281,655,43,49,22,27,3197
2020-04-06,35,922,541,68,50,31,19,4271
2020-04-07,31,718,587,55,53,26,27,6599
2020-04-08,32,611,810,58,57,25,32,6372
2020-04-09,23,559,704,56,44,19,25,5847
2020-04-10,23,308,561,34,49,20,29,3856
2020-04-11,16,263,394,42,44,22,22,2678
2020-04-12,25,219,332,29,35,7,28,2239
2020-04-13,24,245,260,26,34,13,21,2142
2020-04-14,22,426,517,52,37,16,21,3888
2020-04-15,23,329,322,30,37,15,22,5450
2020-04-16,18,319,341,37,38,12,26,4983
2020-04-17,14,290,327,31,36,15,21,4498
2020-04-18,13,144,334,14,30,13,17,3525
2020-04-19,8,86,200,21,20,5,15,2102
2020-04-20,12,277,117,23,37,14,23,3409
2020-04-21,8,214,209,17,33,15,18,4848
2020-04-22,9,156,222,19,26,12,14,4515
2020-04-23,12,210,190,7,29,11,18,4464
2020-04-24,9,168,204,12,22,15,7,4710
2020-04-25,12,86,167,13,23,9,14,3973
2020-04-26,9,61,99,6,13,2,11,2330
2020-04-27,5,173,102,13,22,11,11,3717
2020-04-28,6,153,140,13,11,2,9,5513
2020-04-29,4,116,147,9,10,5,5,5738
2020-04-30,5,100,140,4,13,5,8,4730
2020-05-01,6,80,111,5,12,5,7,4371
2020-05-02,7,47,87,7,9,4,5,3087
2020-05-03,6,22,66,7,8,6,2,2492
2020-05-04,9,90,33,2,9,5,4,3823
2020-05-05,4,69,68,6,8,6,2,5834
2020-05-06,17,77,67,2,4,4,0,5303
2020-05-07,11,46,77,6,11,7,4,4624
2020-05-08,10,56,52,2,7,4,3,4295
2020-05-09,6,38,49,2,5,1,4,3092
2020-05-10,11,15,43,5,7,4,3,1391
2020-05-11,12,46,38,4,3,1,2,5049
2020-05-12,8,42,41,1,1,0,1,5536
2020-05-13,5,35,51,5,1,0,1,6203
2020-05-14,5,37,41,1,2,2,0,5677
2020-05-15,1,40,41,3,5,3,2,5566
2020-05-16,6,15,26,3,1,1,0,3242
2020-05-17,6,12,21,5,4,2,2,1732
2020-05-18,7,34,21,2,3,1,2,4383
2020-05-19,7,36,39,2,4,3,1,5959
2020-05-20,6,29,33,1,0,0,0,4824
2020-05-21,8,11,18,2,5,2,3,2104
2020-05-22,5,20,24,3,1,1,0,3549
2020-05-23,4,14,10,0,1,0,1,2527
2020-05-24,6,10,10,0,0,0,0,1651
2020-05-25,6,15,16,1,2,1,1,3987
2020-05-26,2,19,15,1,2,2,0,5668
2020-05-27,0,24,19,0,0,0,0,4991
2020-05-28,1,31,31,2,0,0,0,4186
2020-05-29,3,21,33,0,0,0,0,3692
2020-05-30,2,10,16,1,0,0,0,2580
2020-05-31,3,7,6,2,0,0,0,1561
2020-06-01,4,3,6,0,0,0,0,1781
2020-06-02,4,22,6,0,0,0,0,4266
2020-06-03,6,22,21,0,0,0,0,5237
2020-06-04,4,17,28,2,0,0,0,5194
2020-06-05,1,15,14,0,0,0,0,4778
2020-06-06,4,10,16,0,1,1,0,3078
2020-06-07,0,6,5,0,0,0,0,1509
2020-06-08,2,25,13,0,1,1,0,4660
2020-06-09,0,11,42,0,0,0,0,6157
2020-06-10,0,7,9,0,0,0,0,4908
2020-06-11,0,0,3,0,0,0,0,0
